qualified_name,entity_guid,entity_type,name,database_name,owner
maxcompute-table.dataworks_analyze.meta_table_lineage,odps.dataworks_analyze.meta_table_lineage,odps-table,meta_table_lineage,dataworks_analyze,晨鹏
maxcompute-table.dataworks_analyze.meta_table_lineage_statistics,odps.dataworks_analyze.meta_table_lineage_statistics,odps-table,meta_table_lineage_statistics,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.meta_table_lineage_with_user,odps.dataworks_analyze.meta_table_lineage_with_user,odps-table,meta_table_lineage_with_user,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.rpt_d_table_lineage,odps.dataworks_analyze.rpt_d_table_lineage,odps-table,rpt_d_table_lineage,dataworks_analyze,149944
maxcompute-table.ecodata_dist.icbu_jspt_meta_table_lineage_view,odps.ecodata_dist.icbu_jspt_meta_table_lineage_view,odps-table,icbu_jspt_meta_table_lineage_view,ecodata_dist,117142
maxcompute-table.ecodata_dist.vabt_jspt_meta_table_lineage_view,odps.ecodata_dist.vabt_jspt_meta_table_lineage_view,odps-table,vabt_jspt_meta_table_lineage_view,ecodata_dist,268394
maxcompute-table.fin_data_platform.fin_meta_table_lineage,odps.fin_data_platform.fin_meta_table_lineage,odps-table,fin_meta_table_lineage,fin_data_platform,268394
mysql-table.4d6d25c4647eb187660054a4e2c88da7ffb287e2,4d6d25c4647eb187660054a4e2c88da7ffb287e2,mysql-table,base_meta_io_schd_relation,dw_metaservice,
loghub-logstore.b52a375842a2066f5afcb524abd21c8807f7bd33,b52a375842a2066f5afcb524abd21c8807f7bd33,loghub-logstore,lineage,,
loghub-logstore.f01251296bd1cfaec37ae9268c5d5b92def773ab,f01251296bd1cfaec37ae9268c5d5b92def773ab,loghub-logstore,entity_lineage,,
mysql-table.22badf3053c1ae316917326ddf761907cb7842ee,22badf3053c1ae316917326ddf761907cb7842ee,mysql-table,fin_meta_table_lineage,fin_data_monitor,
maxcompute-table.dataworks_meta.ods_d_crawled_metadata_lineage,odps.dataworks_meta.ods_d_crawled_metadata_lineage,odps-table,ods_d_crawled_metadata_lineage,dataworks_meta,085416
maxcompute-table.dataworks_meta.dwd_d_retained_metadata_lineage,odps.dataworks_meta.dwd_d_retained_metadata_lineage,odps-table,dwd_d_retained_metadata_lineage,dataworks_meta,085416
